Undergraduate Institution,Total Applicants from the Institution,year
"Fordham University, Bronx, NY",114,2020
"George Mason University, Fairfax, VA",114,2020
"University of Hawaii at Manoa, Honolulu, HI",113,2020
"Drexel University, Philadelphia, PA",112,2020
"University of California-Santa Cruz, Santa Cruz, CA",112,2020
"The University of Texas at Arlington, Arlington, TX",109,2020
"The University of Texas Rio Grande Valley, Edinburg, TX",99,2020
"Colorado State University, Fort Collins, CO",92,2020
"Grand Valley State University, Allendale, MI",91,2020
"Kansas State University, Manhattan, KS",90,2020
"Oregon State University, Corvallis, OR",89,2020
"Southern Methodist University, Dallas, TX",89,2020
"Montana State University-Bozeman, Bozeman, MT",87,2020
"Iowa State University, Ames, IA",86,2020
"Portland State University, Portland, OR",86,2020
"City University of New York Brooklyn College, Brooklyn, NY",85,2020
"University of British Columbia, Vancouver, BC",85,2020
"Marquette University, Milwaukee, WI",84,2020
"Mercer University, Macon, GA",84,2020
"Syracuse University, Syracuse, NY",84,2020
"University at Albany, SUNY, Albany, NY",84,2020
"University of North Texas, Denton, TX",84,2020
"Indiana University-Purdue University-Indianapolis, Indianapolis, IN",83,2020
"University of Nevada-Las Vegas, Las Vegas, NV",83,2020
"University of North Dakota, Grand Forks, ND",83,2020
"Xavier University of Louisiana, New Orleans, LA",82,2020
"Brandeis University, Waltham, MA",79,2020
